Type,Where,Company,Latest financing time,Round,Latest valuation (100 million$),Key words,Founding time,nouse,Fouding year,Size（person）
medical health,Shanghai,平安医保科技,2018/2/3,A,88,Technology-driven management medical platform,2016-9,2016,3,50-100
medical health,Shanghai,联影医疗,2018/4/28,B,61.54,Medical equipment and medical information solutions provider,2011-3,2011,8,300-500
medical health,Zhejiang,微医,2018/5/9,F-,55,a comprehensive medical service,2010-3,2010,9,300-500
medical health,Shanghai,复宏汉霖,2018/7/19,B,30,"Monoclonal antibody biosimilars, bio-modified drugs, and innovative monoclonal antibodies using cutting-edge technologies",2010-2,2010,9,150-300
medical health,Shandong,杰华生物,2018/4/20,Strategy,27.3,Protein drug developer,2008-3,2008,11,1000-2000
medical health,Shanghai,药明明码,2018/11/28,C,20,Medical health service platform,2015-6,2015,4,100-150
medical health,Beijing,好大夫在线,2017/3/29,D,15.38,Online consultation comprehensive service platform,2006-10,2006,13,-
medical health,Sichuan,医联,2018/7/31,D,12.31,Mobile social apps for doctors,2014-6,2014,5,100-150
medical health,Beijing,春雨医生,2017/10/16,Strategy,11.08,Dr. Chun Yu defines China Mobile Medical,2011-7,2011,8,150-300
medical health,Shanghai,天境生物,2018/6/29,C,11,Technology companies focused on innovative biomedical,2016-8,2016,3,50-100
medical health,Guangdong,妙手医生,2019/6/27,C+,10.77,"Creating a new health management model of ""Internet + medical + medicine"" based on Internet technology",2015-3,2015,4,100-150
medical health,Beijing,诺禾致源,2016/11/17,B,10.77,a genomics solution provider,2011-3,2011,8,2000
medical health,Beijing,零氪科技,2018/7/4,D,10.77,Workforce and Medical Big Data Solution Provider,2014-12,2014,5,100-150
medical health,Hubei,安翰光电,2017/8/15,B,10,Committed to the development of capsule endoscope machine system and commercial application,2009-12,2009,10,150-300
medical health,Guangdong,碳云智能,2016/7/3,Strategy,10,"Life big data, internet and industrial intelligence engine to explore life",2015-10,2015,4,500-1000
medical health,Zhejiang,丁香园,2018/4/10,D,10,Medical field connector and professional service provider in the digital field,2005-11,2005,14,300-500
medical health,Guangdong,七乐康,2019/4/10,Strategy,10,Pharmaceutical e-commerce and online pharmacies,2010-1,2010,9,1000-2000
medical health,Zhejiang,禾连健康,2018/6/21,B,10,Medical information service provider,2014-12,2014,5,50-100
medical health,Beijing,企鹅杏仁,2019/4/24,Strategy,10,A large health service provider that integrates online and offline,2018-8,2018,1,100-150
medical health,Hongkong,香港亚洲医疗,2018/9/18,Strategy,10,Cardiovascular Chain Specialist Hospital Group,2010-1,2010,9,500-1000
hardware,Guangdong,大疆无人机,2015/5/6,C,220,Focus on aircraft and flight imaging systems,2006-11,2006,13,300-500
hardware,Guangdong,优必选,2019/3/6,Strategy,55,Smart machine developer,2012-3,2012,7,150-300
hardware,Guangdong,柔宇科技,2018/8/9,Strategy,50,Flexible display and sensor developer,2012-3,2012,7,300-500
hardware,Beijing,寒武纪,2018/6/20,B,25,Depth learning dedicated smart chip,2016-3,2016,3,50-100
hardware,Guangdong,奥比中光,2018/5/21,D,20,3D Somatosensory Technology Developer,2013-1,2013,6,100-150
hardware,Guangdong,酷开,2018/3/16,Strategy,14,An internet smart TV brand,2006-10,2006,13,100-150
hardware,Jiangsu,好享家,2018/10/18,C+,10,Home Comfort Intelligent System Solution Provider,2009-11,2009,10,150-300
hardware,Beijing,Ninebot纳恩博,2017/10/20,C,10,Balance car and short-distance travel tool developer,2013-6,2013,6,150-300
hardware,Shanghai,微鲸科技,2015/8/14,A,10,Internet technology company focused on home entertainment,2015-4,2015,4,300-500
game,Beijing,乐元素,2016/9/18,C+,24.62,Game development and operation provider,2012-2,2012,7,300-500
game,Guangdong,西山居,2017/4/21,Strategy,15,Jinshan Software's game development studio,1995-5,1995,24,150-300
car traffic,Beijing,滴滴出行,2018/7/17,Strategy,560,The world's leading mobile travel platform,2012-7,2012,7,2000
car traffic,Beijing,车好多集团,2019/2/28,D,90,A used car direct selling platform,2012-9,2012,7,300-500
car traffic,Shanghai,威马汽车,2019/3/8,C,60,New energy smart car brand for Chinese users,2012-5,2012,7,150-300
car traffic,Beijing,奇点汽车,2019/6/3,Strategy,38.46,Smart new energy vehicle developer,2014-12,2014,5,150-300
car traffic,Guangdong,小鹏汽车,2018/8/2,B+,38.46,Electric vehicle manufacturer,2015-1,2015,4,50-100
car traffic,Jiangsu,Byton拜腾汽车,2019/5/7,C,35,New energy electric vehicle developer,2016-3,2016,3,50-100
car traffic,Zhejiang,大搜车,2018/9/3,F-,35,China's leading new retail and new financial platform for automobiles,2012-11,2012,7,1000-2000
car traffic,Shanghai,游侠汽车,2018/8/22,B+,33.5,Intelligent electric vehicle integrated manufacturing enterprise,2014-3,2014,5,150-300
car traffic,Beijing,首汽租车,2016/12/27,B,30.77,Integrated car rental service provider,1992-5,1992,27,-
car traffic,Beijing,地平线,2019/2/27,B,30,Smart core technology and system level solution provider,2015-6,2015,4,100-150
car traffic,Beijing,ofo小黄车,2018/3/13,Strategy,30,The world's leading non-pile shared bicycle platform,2014-12,2014,5,150-300
car traffic,Shanghai,哈啰出行,2018/9/3,Strategy,25,Mainly sharing bicycles in second- and third-tier cities,2016-3,2016,3,1000-2000
car traffic,Beijing,理想汽车,2019/4/26,B+,23.08,Smart new energy vehicle developer,2016-8,2016,3,50-100
car traffic,Guangdong,银隆新能源,2016/12/15,Strategy,20.62,Lithium battery and electric vehicle research and development company,2009-12,2009,10,150-300
car traffic,Zhejiang,时空电动,2018/8/13,Strategy,18.46,Electric vehicles and new energy companies,2013-9,2013,6,500-1000
car traffic,Beijing,电咖汽车,2018/7/24,Pre-A,18.46,New energy vehicle developer,2015-6,2015,4,300-500
car traffic,Shanghai,爱驰汽车,2019/5/29,Strategy,18.46,"Smart electric vehicle manufacturer, online and offline mode combination",2016-10,2016,3,30-50
car traffic,Shanghai,途虎养车,2018/9/15,E,18,"Main car after-service, car-raising B2C e-commerce platform",2011-1,2011,8,150-300
car traffic,Beijing,小马智行Pony.ai,2019/4/11,Strategy,16.67,Autopilot solution provider,2016-12,2016,3,30-50
car traffic,Guizhou,新特汽车,2019/5/16,B,16,Electric travel products and service providers,2017-9,2017,2,300-500
car traffic,Zhejiang,曹操出行,2018/1/17,A,15.38,Net car service platform,2015-5,2015,4,300-500
car traffic,Zhejiang,天际汽车,2019/4/13,A,15.38,"R&D and sales of new energy vehicles, repair and maintenance of new energy vehicles, etc.",2015-6,2015,4,150-300
car traffic,Beijing,ETCP停车,2018/1/12,Strategy,15.38,a smart parking service provider,2012-1,2012,7,300-500
car traffic,Shanghai,斑马智行,2018/9/13,A,15.38,Internet car solutions jointly developed by SAIC and Alibaba,2015-11,2015,4,150-300
car traffic,Jiangsu,博郡汽车,2019/6/3,Strategy,15.38,Smart electric car developer,2016-11,2016,3,300-500
car traffic,Jiangsu,康众汽车配件,2019/3/1,D+,15.2,Automotive aftermarket parts service provider,2013-9,2013,6,2000
car traffic,Zhejiang,零跑科技,2018/11/20,A,12.31,An electric car R & D manufacturer,2015-12,2015,4,300-500
car traffic,Guangdong,巴图鲁,2019/4/13,C+,12.31,Industrial Internet company focusing on the automotive aftermarket,2013-9,2013,6,150-300
car traffic,Zhejiang,微宏动力,2017/4/21,Strategy,11.54,Global leader in fast charge battery technology,2006-12,2006,13,2000
car traffic,Hubei,斑马快跑,2018/10/23,D+,11.08,"Innovative, full-scenario network car travel platform",2015-4,2015,4,150-300
car traffic,Beijing,首汽约车,2017/11/20,B+,10.77,The main mobile car rental platform in the high-end market,2015-9,2015,4,300-500
car traffic,Beijing,花生好车,2018/10/24,B,10.5,New car sales and service vehicle comprehensive service platform,2015-7,2015,4,150-300
car traffic,Beijing,出门问问,2017/4/6,D,10,Define the next generation of machine interaction,2012-10,2012,7,300-500
car traffic,Beijing,人人车,2018/4/26,E,10,Create a new used car c2c trading mode,2014-7,2014,5,500-1000
car traffic,Beijing,Momenta,2018/10/18,Strategy,10,Create an autopilot brain,2016-7,2016,3,50-100
car traffic,Beijing,图森未来,2019/2/13,D,10,Intercity Logistics Transportation Autopilot Solution Provider,2015-9,2015,4,150-300
travel,Beijing,OYO酒店,2019/4/1,Strategy,55,A chain of hotel brands empowering budget hotels,2012-1,2012,7,2000
travel,Beijing,途家网,2017/10/10,E,15,"Tujia.com, Global Apartment B&B Booking Platform",2011-12,2011,8,2000
travel,Guangdong,KLOOK客路旅行,2019/4/9,D+,13.5,Travel experience booking platform,2014-6,2014,5,150-300
travel,Beijing,古北水镇,2018/7/10,Strategy,13.08,Tourism service provider,2011-11,2011,8,2000
travel,Guangdong,要出发周边游,2016/4/18,D,10.77,"Online travel service featuring ""surrounding tour"" service",2011-10,2011,8,1000-2000
travel,Beijing,马蜂窝,2019/5/23,E,10,Free travel service platform travel sharing social media,2006-1,2006,13,500-1000
finance,Zhejiang,蚂蚁金服,2018/6/23,Strategy,1538.46,Alibaba's small microfinance group,2014-10,2014,5,2000
finance,Shanghai,陆金所,2018/12/15,C,394,Ping An Group's Internet Wealth Management Platform,2011-9,2011,8,500-1000
finance,Beijing,京东数科,2018/7/12,B,204.62,Internet financial service platform,2013-7,2013,6,2000
finance,Guangdong,微众银行,2016/1/28,A,184.62,Online financial service platform,2014-12,2014,5,300-500
finance,Beijing,比特大陆,2018/8/7,B+,150,Focus on Bitcoin mining full ecological chain service,2013-10,2013,6,50-100
finance,Jiangsu,苏宁金融,2018/12/29,Strategy,86.15,Integrated financial service provider,2006-12,2006,13,300-500
finance,Beijing,借贷宝,2016/1/26,A,76.92,Internet financial service platform,2014-12,2014,5,50-100
finance,Shanghai,金融壹账通,2018/1/16,A,75,Financial technology service company,2015-12,2015,4,50-100
finance,Beijing,度小满金融,2018/4/28,Strategy,36,Internet integrated financial service provider,2016-4,2016,3,50-100
finance,Shanghai,银联商务,2016/10/22,Strategy,31.54,China's largest bank card acquiring institution,2002-1,2002,17,2000
finance,Jiangsu,汇通达,2018/4/17,Strategy,30.77,Rural ecological e-commerce,2008-1,2008,11,1000-2000
finance,Beijing,玖富,2018/9/27,E,22,Internet finance integrated service platform,2006-8,2006,13,500-1000
finance,Beijing,网信理财,2016/9/20,C,20,Netcom Group's online lending information intermediary platform,2014-6,2014,5,150-300
finance,Zhejiang,挖财,2018/7/18,D,20,Accounting system,2009-6,2009,10,1000-2000
finance,Beijing,闪银奇异,2018/3/20,D,16,Big data credit assessment service provider,2014-1,2014,5,150-300
finance,Anhui,正奇金融,2016/12/29,Strategy,15.38,Financing services for SMEs and financial holding companies engaged in innovative financial business,2012-10,2012,7,300-500
finance,Shanghai,点融网,2019/6/20,F-,15,Internet lending platform and banking solution provider,2013-3,2013,6,300-500
finance,Zhejiang,连连数字,2018/9/3,B,11.95,Cross-border payment financial service provider,2009-2,2009,10,300-500
finance,Beijing,易生金服,2016/12/29,B+,11.69,"Integrating tourism payment, tourism finance and tourism value-added services",2015-11,2015,4,50-100
finance,Guangdong,联易融,2018/10/15,C,10.5,Supply chain financial business service provider,2016-2,2016,3,50-100
finance,Guangdong,随手记,2017/9/25,C,10,A mobile internet management platform,2010-2,2010,9,500-1000
finance,Beijing,人人贷,2014/1/5,A,10,Financial lending platform,2010-5,2010,9,-
finance,Zhejiang,嘉楠耘智Canaan,2019/3/12,B,10,Bitcoin mining machine service provider,2013-4,2013,6,100-150
marketing,Sichuan,新潮传媒,2018/11/14,Strategy,24.62,a digital elevator advertising service provider,2007-4,2007,12,2000
marketing,Zhejiang,盘石股份,2018/10/17,D,15.77,Become the leader of the global new economic platform,2004-11,2004,15,300-500
estate service,Beijing,链家网,2017/11/20,Strategy,76.92,A comprehensive property O2O service company,2001-9,2001,18,2000
estate service,Beijing,自如网,2019/6/15,B,50,Internet rental service platform,2011-6,2011,8,50-100
estate service,Guangdong,房多多,2015/9/16,C,40,Real estate integrated marketing service platform,2011-10,2011,8,-
estate service,Guangdong,土巴兔,2015/3/9,C,20,One-stop decoration service platform,2008-7,2008,11,150-300
estate service,Beijing,蛋壳公寓,2019/3/1,C,20,Internet long-term rental apartment operator,2015-1,2015,4,150-300
estate service,Beijing,氪空间,2019/5/15,C,18.46,Joint office space + enterprise service platform,2014-4,2014,5,300-500
estate service,Beijing,小猪短租,2018/10/10,Strategy,15,Provide short-term accommodation sharing services for users,2012-8,2012,7,150-300
estate service,Shanghai,魔方公寓,2019/3/11,D,15,Urban white-collar O2O serviced apartment chain service brand,2013-8,2013,6,300-500
estate service,Jiangsu,艾佳生活,2018/9/18,B,10.77,One-stop home improvement service platform,2014-12,2014,5,150-300
estate service,Hongkong,Weave Co-Living,2018/11/12,天使,10,Long-term rental apartment platform,2017-1,2017,2,50-100
local life,Anhui,谊品生鲜,2019/3/29,B,15.38,Fresh discount supermarket chain,2017-12,2017,2,2000
local life,Zhejiang,贝贝网,2016/6/16,D,15,Domestic leading household consumption platform,2014-5,2014,5,1000-2000
local life,Sichuan,1919酒类直供,2018/10/18,C,10.77,Alcohol direct supply platform,1998-1,1998,21,100-150
local life,Zhejiang,婚礼纪,2019/3/11,D,10,One-stop wedding service platform,2013-3,2013,6,150-300
local life,Beijing,禧云国际,2018/5/8,A,10,One-stop service platform for group food industry,2017-7,2017,2,30-50
local life,Zhejiang,点我达,2018/7/11,Strategy,10,Instant delivery logistics service provider,2009-10,2009,10,500-1000
local life,Beijing,58到家,2015/10/12,A,10,Provide home service as a home service platform for core business,2014-11,2014,5,300-500
local life,Beijing,便利蜂,2017/2/9,A,10,New 24-hour chain convenience store,2016-12,2016,3,100-150
Education,Beijing,VIPKID,2018/6/21,D+,35,Focus on 4-12 years old children's English education,2013-10,2013,6,300-500
Education,Beijing,猿辅导,2018/12/25,F-,30,"Course online tutoring platform, K12",2012-3,2012,7,2000
Education,Beijing,作业帮,2018/1/02,E,25,"Primary and secondary school online learning products, K12",2014-1,2014,5,150-300
Education,Beijing,iTutorGroup集团,2019/2/28,F-,20,True online language learning,2008-8,2008,11,1000-2000
Education,Shanghai,掌门1对1,2019/2/18,E,16,"Primary and secondary school online teacher counseling, K12",2016-4,2016,3,300-500
Education,Shanghai,高顿网校,2018/11/19,C,15.38,"Financial Network Education Platform, K12",2014-4,2014,5,300-500
Education,Shanghai,DaDa英语,2019/1/16,D,15.3,Education Online Children's English Education Platform,2013-4,2013,6,500-1000
Education,Shanghai,轻轻家教,2017/10/30,D,15,"Tutor and student docking platform, K12",2014-1,2014,5,500-1000
Education,Shanghai,松鼠AI智适应教育,2018/7/4,A,11,"AI Education, K12",2014-9,2014,5,2000
Education,Shanghai,沪江网校,2015/10/28,D,10.77,"Foreign language online learning platform, k12",2001-1,2001,18,300-500
Education,Shanghai,一起作业,2018/3/20,E,10,Parent interaction online job platform,2012-12,2012,7,2000
Education,Beijing,慧科教育集团,2018/5/24,D,10,Higher education and vocational education,2010-8,2010,9,500-1000
Education,Shanghai,学霸君,2017/1/20,C,10,"Online one-on-one tutoring for primary and secondary school students, k12",2013-12,2013,6,150-300
Education,Beijing,作业盒子,2019/5/30,D,10,"Big Data Intelligence Question Bank, K12",2014-7,2014,5,150-300
Entertainment media,Beijing,今日头条,2018/10/20,F-,750,"An interest-based, social mobile messaging app",2012-7,2012,7,2000
Entertainment media,Beijing,快手,2018/4/21,E,200,Short video content sharing platform,2011-3,2011,8,300-500
Entertainment media,Hubei,斗鱼直播,2018/3/8,E,38.46,A game live broadcast platform and a live broadcast sharing website,2014-1,2014,5,1000-2000
Entertainment media,Zhejiang,网易云音乐,2018/11/13,B,35,Focus on discovering and sharing music products,2013-4,2013,6,50-100
Entertainment media,Shanghai,喜马拉雅,2018/8/22,E,34,An audio sharing platform,2012-8,2012,7,1000-2000
Entertainment media,Beijing,一下科技,2016/11/19,E,30,A mobile video capture and sharing tool,2011-8,2011,8,300-500
Entertainment media,Guangdong,大地影院,2017/7/6,Strategy,30,A mobile video capture and sharing tool,2006-1,2006,13,150-300
Entertainment media,Shanghai,灿星文化,2018/7/31,Strategy,26.15,Professional entertainment producer,2006-3,2006,13,300-500
Entertainment media,Beijing,知乎,2018/8/8,E,24,Network question and answer community,2011-1,2011,8,500-1000
Entertainment media,Zhejiang,淘票票,2017/7/24,Strategy,22.46,Alibaba's ticket sales business,2015-7,2015,4,150-300
Entertainment media,Guangdong,荔枝FM,2018/1/3,D,20,The anchor is the core audio podcast platform,2007-12,2007,12,150-300
Entertainment media,Beijing,影谱科技,2019/2/22,Strategy,20,Native image interactive platform,2013-1,2013,6,150-300
Entertainment media,Beijing,快看漫画,2017/1/21,D,15.3,A light and funny funny comics app,2014-12,2014,5,300-500
Entertainment media,Beijing,一点资讯,2019/2/25,Strategy,14,a news app,2013-7,2013,6,150-300
Entertainment media,Beijing,罗辑思维,2017/9/25,D,11.54,Focus on mobile internet knowledge payment services,2014-6,2014,5,300-501
Entertainment media,Beijing,太合音乐,2018/6/21,Strategy,10.77,New comprehensive music service organization,2014-8,2014,5,300-500
Entertainment media,Shanghai,连尚文学,2018/12/26,A,10,Network literature business under the head group,2017-5,2017,2,100-150
Enterprise service,Zhejiang,阿里云,2015/7/29,Strategy,670,Cloud Computing and Industrial Intelligence Technology,2009-6,2009,10,2000
Enterprise service,Beijing,商汤科技SenseTime,2018/9/10,D,60,The world's leading developer of deep learning platforms,2014-8,2014,5,300-500
Enterprise service,Shanghai,WeWork China,2018/7/27,B,50,Joint office service provider,2015-12,2015,4,2000
Enterprise service,Guangdong,云从科技,2018/1/08,B+,35.38,Face recognition and computer vision,2015-3,2015,4,300-500
Enterprise service,Beijing,优客工场,2019/4/4,Strategy,32.31,Main business space for shared business,2015-4,2015,4,300-500
Enterprise service,Beijing,旷视MEGVII,2019/5/8,D,30,Intelligent IoT Service and Solution Specialist,2011-10,2011,8,2000
Enterprise service,Shanghai,依图科技,2019/5/6,D,26,Computer vision technology company,2012-9,2012,7,150-300
Enterprise service,Beijing,奇安信集团,2019/4/12,Strategy,25.41,Enterprise-class network security products and service providers,2016-12,2016,3,300-500
Enterprise service,Beijing,金山云,2018/1/29,D,24,Cloud computing service provider,2012-2,2012,7,1000-2000
Enterprise service,Zhejiang,涂鸦智能,2019/6/11,Strategy,20,One-stop smart home solution provider,2014-6,2014,5,100-150
Enterprise service,Beijing,九次方大数据,2019/5/27,Strategy,19.23,Chinese government big data application service provider,2010-1,2010,9,500-1000
Enterprise service,Jiangsu,华云数据,2018/6/9,F-,15.38,Integrated cloud computing service provider,2010-1,2010,9,500-1000
Enterprise service,Shanghai,UCloud,2018/6/28,E,15.38,Infrastructure cloud computing company,2012-3,2012,7,500-1000
Enterprise service,Beijing,软通动力,2015/12/14,C,15.38,China's leading software and information technology service provider,2005-11,2005,14,500-1000
Enterprise service,Chongqing,猪八戒网,2015/6/15,C,15.38,"A Witkey, crowdsourcing service website",2005-12,2005,14,1000-2000
Enterprise service,Beijing,秦淮数据,2019/5/28,Strategy,15,Network Optimization Total Solution Provider,2017-12,2017,2,100-150
Enterprise service,Zhejiang,同盾科技,2019/4/25,D,15,Third-party big data risk control service provider,2013-10,2013,6,500-1000
Enterprise service,Beijing,36氪集团,2016/12/13,Strategy,14.62,Internet entrepreneurship lifecycle service provider,2011-7,2011,8,300-500
Enterprise service,Beijing,云知声,2019/4/1,D,12.31,Yunzhisheng focuses on IoT workers' intelligent services,2012-6,2012,7,150-300
Enterprise service,Beijing,明略数据,2019/3/27,D,12.31,Industry Intelligence Solution Provider,2014-4,2014,5,300-500
Enterprise service,Beijing,第四范式,2018/12/19,C,12,Smart technology and service provider,2015-5,2015,4,50-100
Enterprise service,Zhejiang,数梦工场,2017/6/8,A,11.54,DT platform and service provider,2015-3,2015,4,50-100
Enterprise service,Beijing,特斯联,2018/10/25,B,11.08,City-level intelligent Internet of Things platform,2015-11,2015,4,100-150
Enterprise service,Guangdong,汇桔网,2018/1/12,Strategy,10.77,"Focus on intellectual property, trademark transactions",2013-7,2013,6,2000
Enterprise service,Beijing,GEO集奥聚合,2014/4/15,B,10,Third-party data integration and scenario application platform,2012-8,2012,7,300-500
Enterprise service,Beijing,纷享销客,2018/1/23,Strategy,10,Big data integration service provider,2014-6,2014,5,50-100
Enterprise service,Beijing,睿智科技,2019/5/31,A,10,Mobile Sales Management SaaS Solution Provider,2008-3,2008,11,1000-2000
social,Shanghai,Soul App,2019/6/24,C,15,Unfamiliar personality matching social APP,2015-6,2015,4,30-50
social,Beijing,脉脉,2018/4/21,D,0,Real-name workplace social platform,2013-10,2013,6,150-300
Electronic commerce,Beijing,美菜网,2018/1/8,Strategy,33.85,"B2B platform for agricultural products, vegetables and fruits",2014-5,2014,5,2000
Electronic commerce,Shanghai,小红书,2018/6/1,D,30,Overseas shopping sharing community e-commerce,2013-8,2013,6,150-300
Electronic commerce,Shanghai,爱回收,2019/6/3,Strategy,30,Electronic product recycling and trade-in service providers,2011-4,2011,8,100-150
Electronic commerce,Beijing,每日优鲜,2018/9/6,Strategy,20,Focus on high-quality fresh-selling websites,2014-10,2014,5,150-300
Electronic commerce,Beijing,中商惠民网,2016/9/4,B,20,Community e-commerce service platform,2013-10,2013,6,100-150
Electronic commerce,Shanghai,找钢网,2017/7/4,F-,18.46,A steel B2B trading website,2011-3,2011,8,2000
Electronic commerce,Hubei,良品铺子,2018/1/5,C,15.54,Leading brand in the snack food retail industry,2010-8,2010,9,2000
Electronic commerce,Guangdong,辣妈帮,2017/2/9,D,15,a female mobile community,2012-1,2012,7,300-500
Electronic commerce,Guangdong,百果园,2018/7/13,C,14.62,Fruit store chain,2001-12,2001,18,100-150
Electronic commerce,Beijing,中粮我买网,2015/10/21,C,13,Food comprehensive B2C e-commerce website,2009-8,2009,10,不明确
Electronic commerce,Beijing,易久批,2019/3/16,D+,12.5,Wine B2B e-commerce platform,2014-9,2014,5,1000-2000
Electronic commerce,Shanghai,易果生鲜,2017/8/3,D,12,A new generation of full-link fresh operation platform,2005-10,2005,14,300-500
Electronic commerce,Beijing,蜜芽宝贝,2016/10/28,E,11,Imported mother and baby brand goods limited time discount sale website,2011-10,2011,8,500-1000
Electronic commerce,Beijing,金银岛,2015/8/5,B,10.25,Bulk product e-commerce platform,2004-3,2004,15,150-300
Electronic commerce,Shanghai,返利网,2015/4/21,C,10,E-commerce shopping guide platform with leading market segmentation and user activity in the shopping credit industry,2006-11,2006,13,150-300
Electronic commerce,Zhejiang,执御信息,2018/5/28,C,10,A cross-border e-commerce B2C brand that focuses on global sales of fashion products,2012-12,2012,7,300-500
Electronic commerce,Beijing,转转,2017/4/18,A,10,58 Group's second-hand trading platform,2015-11,2015,4,300-500
Electronic commerce,Hubei,卷皮网,2016/4/13,C,10,"Provide clothing, home, mother and baby, and other pan-life, affordable, high-quality goods, innovative ""parity retail"" model",2012-9,2012,7,1000-2000
Electronic commerce,Shanghai,毒APP,2019/4/29,A+,10,High-end sneaker trading platform,2015-7,2015,4,50-100
Tool software,Shanghai,WiFi万能钥匙,2017/1/21,C,52,A WiFi hotspot sharing tool,2012-1,2012,7,150-300
Tool software,Beijing,APUS麒麟合盛,2017/8/18,Strategy,17.92,Provide mobile phone users with mobile phone experience and mobile internet access experience,2014-6,2014,5,150-300
Tool software,Beijing,网易有道,2018/4/17,A,11.2,Internet education brand,2006-3,2006,13,300-500
sports,Jiangsu,苏宁体育,2018/7/19,A,18,Sports Industry Group,2016-5,2016,3,300-500
logistics,Zhejiang,菜鸟网络,2017/9/26,Strategy,200,Alibaba's logistics service platform,2013-5,2013,6,2000
logistics,Beijing,京东物流,2018/2/14,A,134,Jingdong's logistics group,2017-4,2017,2,50-100
logistics,Guizhou,满帮集团,2018/4/24,F-,65,Smart logistics service provider,2017-11,2017,2,2000
logistics,Shanghai,达达,2018/8/9,Strategy,46.15,City Express Service Platform and Retail Empowerment Open Platform,2014-6,2014,5,300-500
logistics,Shanghai,易商红木,2018/5/15,D,36,Logistics Real Estate Service Platform,2011-7,2011,8,1000-2000
logistics,Jiangsu,汇通达,2018/4/17,Strategy,30.77,Township market appliance supply chain logistics service company,2008-1,2008,11,1000-2000
logistics,Guangdong,跨越速运,2018/10/23,A,30.77,Large modern integrated logistics service provider specializing in domestic limited time service,2007-8,2007,12,100-150
logistics,Shandong,日日顺物流,2018/7/6,B+,17.38,Haier's logistics platform,2014-5,2014,5,500-1000
logistics,Hongkong,普泰集团,2017/6/14,Strategy,15.38,"Investment group focusing on port logistics, logistics and real estate",2010-1,2010,9,300-500
logistics,Sichuan,驹马物流,2018/11/26,C,15.38,City car service innovator,2015-7,2015,4,1000-2000
logistics,Guangdong,货拉拉,2019/2/21,D,15,Tongcheng Freight O2O Service Platform,2014-10,2014,5,300-500
logistics,Shanghai,ANE安能物流,2016/1/1,E,13,Express logistics,2010-8,2010,9,2000
logistics,Beijing,运立方,2015/5/2,B,12.6,Internet Logistics Information Platform,2014-4,2014,5,150-300
logistics,Shanghai,安鲜达物流,2017/8/1,Strategy,12,Fresh logistics cold chain distribution service provider,2015-3,2015,4,-
logistics,Shanghai,壹米滴答,2019/1/14,D,11.08,Supply chain management service provider,2015-6,2015,4,2000
logistics,Guangdong,丰巢科技,2018/1/23,Strategy,10.77,Smart courier service provider,2015-4,2015,4,150-300
logistics,Beijing,G7汇通天下,2018/1/01,Strategy,10,Minute-second-aware freight smart connection logistics,2010-12,2010,9,1000-2000
logistics,Beijing,云鸟配送,2017/2/13,D,10,Mainly in the same city fast delivery service,2014-9,2014,5,2000
logistics,Beijing,快狗打车,2018/7/13,A,10,58 home to the express business,2014-8,2014,5,300-500
logistics,Guangdong,越海物流,2017/9/21,A,10,a modern international logistics company,2002-8,2002,17,1000-2000
agricultural,Beijing,农信互联,2018/9/18,B,11.38,Agricultural internet platform operator,2003-9,2003,16,100-150
new industry,Guangdong,魅族,2019/5/2,Strategy,58.46,Smartphone developer,2003-1,2003,16,300-500
new industry,Beijing,智米科技,2016/4/24,B,12,R&D and manufacturer of intelligent environmental appliances,2014-6,2014,5,100-150
new industry,Guangdong,努比亚Nubia,2015/12/31,Strategy,11.08,Mobile communication device developer,2012-10,2012,7,500-1000